species,species_id_method,strain,isotype,previous_names,release,source_lab,latitude,longitude,landscape,locality_description,substrate,substrate_comments,substrate_temp,ambient_temp,ambient_humidity,associated_organism,inbreeding_state,sampled_by,isolated_by,sampling_date,sampling_date_comments,notes,set,issues,issue_notes,isotype_ref_strain,wgs_seq
Caenorhabditis briggsae,18S,QG4068,,S-5345.5,,QG,-21.1453727,148.4997337,Forest,Eungella,Rotting_nut/pod/seed/fruit,,21.7,,,,,E. Andersen,C. Buchanan,2020-02-24,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,18S,QG4069,,S-5345.6,,QG,-21.1453727,148.4997337,Forest,Eungella,Rotting_nut/pod/seed/fruit,,21.7,,,,,E. Andersen,C. Buchanan,2020-02-24,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,18S,QG4070,,S-5346.1,,QG,-21.1176781,148.5160414,Forest,Eungella,Rotting_nut/pod/seed/fruit,,23.5,,,,,E. Andersen,C. Buchanan,2020-02-24,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,test cross,QG4071,,S-5346.2,,QG,-21.1176781,148.5160414,Forest,Eungella,Rotting_nut/pod/seed/fruit,,23.5,,,,,E. Andersen,C. Buchanan,2020-02-24,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,test cross,QG4072,,S-5346.3,,QG,-21.1176781,148.5160414,Forest,Eungella,Rotting_nut/pod/seed/fruit,,23.5,,,,,E. Andersen,C. Buchanan,2020-02-24,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,18S,QG4073,,S-5346.4,,QG,-21.1176781,148.5160414,Forest,Eungella,Rotting_nut/pod/seed/fruit,,23.5,,,,,E. Andersen,C. Buchanan,2020-02-24,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,18S,QG4074,,S-5346.5,,QG,-21.1176781,148.5160414,Forest,Eungella,Rotting_nut/pod/seed/fruit,,23.5,,,,,E. Andersen,C. Buchanan,2020-02-24,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,18S,QG4075,,S-5346.6,,QG,-21.1176781,148.5160414,Forest,Eungella,Rotting_nut/pod/seed/fruit,,23.5,,,,,E. Andersen,C. Buchanan,2020-02-24,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,18S,QG4093,,S-5415.1,,QG,-21.1686222222222,148.508016666667,Forest,Eungella,Fungus,,22.2,,,,,M. Rockman,C. Buchanan,2020-02-23,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,18S,QG4094,,S-5415.2,,QG,-21.1686222222222,148.508016666667,Forest,Eungella,Fungus,,22.2,,,,,M. Rockman,C. Buchanan,2020-02-23,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,18S,QG4095,,S-5415.3,,QG,-21.1686222222222,148.508016666667,Forest,Eungella,Fungus,,22.2,,,,,M. Rockman,C. Buchanan,2020-02-23,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,18S,QG4096,,S-5420.1,,QG,-21.1687944444444,148.506575,Forest,Eungella,Rotting_nut/pod/seed/fruit,,,,,,,M. Rockman,C. Buchanan,2020-02-23,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,18S,QG4097,,S-5420.2,,QG,-21.1687944444444,148.506575,Forest,Eungella,Rotting_nut/pod/seed/fruit,,,,,,,M. Rockman,C. Buchanan,2020-02-23,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,18S,QG4100,,S-5420.5,,QG,-21.1687944444444,148.506575,Forest,Eungella,Rotting_nut/pod/seed/fruit,,,,,,,M. Rockman,C. Buchanan,2020-02-23,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,18S and test cross,QG4104,,S-5421.3,,QG,-21.1448888888889,148.498225,Forest,Eungella,Rotting_nut/pod/seed/fruit,,,,,,,M. Rockman,C. Buchanan,2020-02-24,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,test cross,QG4114,,S-5425.3,,QG,-21.144475,148.499922222222,Forest,Eungella,Rotting_nut/pod/seed/fruit,,21.7,,,,,M. Rockman,C. Buchanan,2020-02-24,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,18S,QG4115,,S-5425.4,,QG,-21.144475,148.499922222222,Forest,Eungella,Rotting_nut/pod/seed/fruit,,21.7,,,,,M. Rockman,C. Buchanan,2020-02-24,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,test cross,QG4116,,S-5425.5,,QG,-21.144475,148.499922222222,Forest,Eungella,Rotting_nut/pod/seed/fruit,,21.7,,,,,M. Rockman,C. Buchanan,2020-02-24,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,test cross,QG4117,,S-5425.6,,QG,-21.144475,148.499922222222,Forest,Eungella,Rotting_nut/pod/seed/fruit,,21.7,,,,,M. Rockman,C. Buchanan,2020-02-24,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,18S,QG4119,,S-5432.2,,QG,-21.1675722222222,148.504802777778,Forest,Eungella,Rotting_nut/pod/seed/fruit,,,,,,,M. Rockman,C. Buchanan,2020-02-23,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,18S,QG4123,,S-5432.6,,QG,-21.1675722222222,148.504802777778,Forest,Eungella,Rotting_nut/pod/seed/fruit,,,,,,,M. Rockman,C. Buchanan,2020-02-23,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,18S,QG4128,,S-5439.1,,QG,-21.1703472222222,148.508041666667,Forest,Eungella,Rotting_nut/pod/seed/fruit,,22.3,,,,,M. Rockman,C. Buchanan,2020-02-23,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,18S,QG4129,,S-5439.2,,QG,-21.1703472222222,148.508041666667,Forest,Eungella,Rotting_nut/pod/seed/fruit,,22.3,,,,,M. Rockman,C. Buchanan,2020-02-23,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,18S,QG4130,,S-5439.3,,QG,-21.1703472222222,148.508041666667,Forest,Eungella,Rotting_nut/pod/seed/fruit,,22.3,,,,,M. Rockman,C. Buchanan,2020-02-23,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,18S,QG4131,,S-5439.4,,QG,-21.1703472222222,148.508041666667,Forest,Eungella,Rotting_nut/pod/seed/fruit,,22.3,,,,,M. Rockman,C. Buchanan,2020-02-23,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,18S,QG4132,,S-5439.5,,QG,-21.1703472222222,148.508041666667,Forest,Eungella,Rotting_nut/pod/seed/fruit,,22.3,,,,,M. Rockman,C. Buchanan,2020-02-23,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,18S,QG4133,,S-5439.6,,QG,-21.1703472222222,148.508041666667,Forest,Eungella,Rotting_nut/pod/seed/fruit,,22.3,,,,,M. Rockman,C. Buchanan,2020-02-23,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,18S,QG4206,,S-5609.1,,QG,-21.1695006,148.5079426,Forest,Eungella,Rotting_nut/pod/seed/fruit,,22.3,,,,,E. Andersen,C. Buchanan,2020-02-23,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,18S,QG4207,,S-5609.2,,QG,-21.1695006,148.5079426,Forest,Eungella,Rotting_nut/pod/seed/fruit,,22.3,,,,,E. Andersen,C. Buchanan,2020-02-23,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,18S,QG4208,,S-5609.3,,QG,-21.1695006,148.5079426,Forest,Eungella,Rotting_nut/pod/seed/fruit,,22.3,,,,,E. Andersen,C. Buchanan,2020-02-23,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,18S,QG4209,,S-5609.4,,QG,-21.1695006,148.5079426,Forest,Eungella,Rotting_nut/pod/seed/fruit,,22.3,,,,,E. Andersen,C. Buchanan,2020-02-23,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,18S,QG4210,,S-5609.5,,QG,-21.1695006,148.5079426,Forest,Eungella,Rotting_nut/pod/seed/fruit,,22.3,,,,,E. Andersen,C. Buchanan,2020-02-23,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,18S,QG4211,,S-5609.6,,QG,-21.1695006,148.5079426,Forest,Eungella,Rotting_nut/pod/seed/fruit,,22.3,,,,,E. Andersen,C. Buchanan,2020-02-23,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,18S,QG4212,,S-5612.1,,QG,-21.1686322,148.5064053,Forest,Eungella,Rotting_nut/pod/seed/fruit,,22.1,,,,,E. Andersen,C. Buchanan,2020-02-23,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,18S,QG4213,,S-5612.2,,QG,-21.1686322,148.5064053,Forest,Eungella,Rotting_nut/pod/seed/fruit,,22.1,,,,,E. Andersen,C. Buchanan,2020-02-23,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,test cross,QG4214,,S-5615.4,,QG,-21.1448256,148.4984929,Forest,Eungella,Rotting_nut/pod/seed/fruit,,21.7,,,,,E. Andersen,C. Buchanan,2020-02-24,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,18S and test cross,QG4225,,S-5437.2a,,QG,-21.1455944444444,148.499352777778,Forest,Eungella,Rotting_nut/pod/seed/fruit,,,,,,,M. Rockman,C. Buchanan,2020-02-24,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,test cross,QG4231,,S-5437.2b,,QG,-21.1455944444444,148.499352777778,Forest,Eungella,Rotting_nut/pod/seed/fruit,,,,,,,M. Rockman,C. Buchanan,2020-02-24,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,test cross,QG4232,,S-5415.5,,QG,-21.1686222222222,148.508016666667,Forest,Eungella,Fungus,,22.2,,,,,M. Rockman,C. Buchanan,2020-02-23,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,test cross,QG4233,,S-5415.6,,QG,-21.1686222222222,148.508016666667,Forest,Eungella,Fungus,,22.2,,,,,M. Rockman,C. Buchanan,2020-02-23,,Fulcrum collection 2020FebruaryAustralia,,,,,
